Pokemon,Recipe Quality,Chance of Appearing
Caterpie,Normal,20.00%
Rattata,Normal,20.00%
Nidoran♂,Normal,20.00%
Poliwag,Normal,20.00%
Tentacool,Normal,20.00%
Ekans,Good,19.71%
Machop,Good,19.71%
Grimer,Good,19.71%
Koffing,Good,19.71%
Horsea,Good,19.71%
Squirtle,Good,0.49%
Magikarp,Good,0.49%
Omanyte,Good,0.25%
Tangela,Good,0.06%
Lapras,Good,0.06%
Ditto,Good,0.06%
Dratini,Good,0.06%
Ekans,Very Good,15.41%
Machop,Very Good,15.41%
Grimer,Very Good,15.41%
Koffing,Very Good,15.41%
Horsea,Very Good,15.41%
Squirtle,Very Good,7.70%
Magikarp,Very Good,7.70%
Omanyte,Very Good,3.85%
Tangela,Very Good,0.92%
Lapras,Very Good,0.92%
Ditto,Very Good,0.92%
Dratini,Very Good,0.92%
Squirtle,Special,33.56%
Magikarp,Special,33.56%
Omanyte,Special,16.78%
Tangela,Special,4.03%
Lapras,Special,4.03%
Ditto,Special,4.03%
Dratini,Special,4.03%
