Pokemon,Recipe Quality,Chance of Appearing
Psyduck,Normal,16.67%
Poliwag,Normal,16.67%
Tentacool,Normal,16.67%
Krabby,Normal,16.67%
Goldeen,Normal,16.67%
Staryu,Normal,16.67%
Slowpoke,Good,24.52%
Seel,Good,24.52%
Shellder,Good,24.52%
Horsea,Good,24.52%
Squirtle,Good,0.49%
Magikarp,Good,0.49%
Lapras,Good,0.31%
Omanyte,Good,0.31%
Kabuto,Good,0.31%
Slowpoke,Very Good,18.02%
Seel,Very Good,18.02%
Shellder,Very Good,18.02%
Horsea,Very Good,18.02%
Squirtle,Very Good,7.21%
Magikarp,Very Good,7.21%
Lapras,Very Good,4.50%
Omanyte,Very Good,4.50%
Kabuto,Very Good,4.50%
