Pokemon,Recipe Quality,Chance of Appearing
Caterpie,Normal,4.17%
Weedle,Normal,4.17%
Pidgey,Normal,4.17%
Rattata,Normal,4.17%
Spearow,Normal,4.17%
Sandshrew,Normal,4.17%
Nidoran♀,Normal,4.17%
Nidoran♂,Normal,4.17%
Vulpix,Normal,4.17%
Oddish,Normal,4.17%
Meowth,Normal,4.17%
Psyduck,Normal,4.17%
Mankey,Normal,4.17%
Growlithe,Normal,4.17%
Poliwag,Normal,4.17%
Abra,Normal,4.17%
Bellsprout,Normal,4.17%
Tentacool,Normal,4.17%
Geodude,Normal,4.17%
Krabby,Normal,4.17%
Voltorb,Normal,4.17%
Rhyhorn,Normal,4.17%
Goldeen,Normal,4.17%
Staryu,Normal,4.17%
Ekans,Good,4.65%
Clefairy,Good,4.65%
Jigglypuff,Good,4.65%
Zubat,Good,4.65%
Paras,Good,4.65%
Diglett,Good,4.65%
Machop,Good,4.65%
Ponyta,Good,4.65%
Slowpoke,Good,4.65%
Magnemite,Good,4.65%
Doduo,Good,4.65%
Seel,Good,4.65%
Grimer,Good,4.65%
Shellder,Good,4.65%
Onix,Good,4.65%
Exeggcute,Good,4.65%
Lickitung,Good,4.65%
Koffing,Good,4.65%
Horsea,Good,4.65%
Porygon,Good,4.65%
Bulbasaur,Good,0.23%
Charmander,Good,0.23%
Squirtle,Good,0.23%
Pikachu,Good,0.23%
Venonat,Good,0.23%
Farfetch'd,Good,0.23%
Gastly,Good,0.23%
Drowzee,Good,0.23%
Cubone,Good,0.23%
Hitmonlee,Good,0.23%
Hitmonchan,Good,0.23%
Chansey,Good,0.23%
Tangela,Good,0.23%
Kangaskhan,Good,0.23%
Mr. Mime,Good,0.23%
Scyther,Good,0.23%
Jynx,Good,0.23%
Electabuzz,Good,0.23%
Magmar,Good,0.23%
Pinsir,Good,0.23%
Tauros,Good,0.23%
Magikarp,Good,0.23%
Lapras,Good,0.23%
Ditto,Good,0.23%
Eevee,Good,0.23%
Omanyte,Good,0.23%
Kabuto,Good,0.23%
Aerodactyl,Good,0.23%
Bulbasaur,Very Good,2.00%
Charmander,Very Good,2.00%
Squirtle,Very Good,2.00%
Ekans,Very Good,2.00%
Pikachu,Very Good,2.00%
Clefairy,Very Good,2.00%
Jigglypuff,Very Good,2.00%
Zubat,Very Good,2.00%
Paras,Very Good,2.00%
Venonat,Very Good,2.00%
Diglett,Very Good,2.00%
Machop,Very Good,2.00%
Ponyta,Very Good,2.00%
Slowpoke,Very Good,2.00%
Magnemite,Very Good,2.00%
Farfetch'd,Very Good,2.00%
Doduo,Very Good,2.00%
Seel,Very Good,2.00%
Grimer,Very Good,2.00%
Shellder,Very Good,2.00%
Gastly,Very Good,2.00%
Onix,Very Good,2.00%
Drowzee,Very Good,2.00%
Exeggcute,Very Good,2.00%
Cubone,Very Good,2.00%
Hitmonlee,Very Good,2.00%
Hitmonchan,Very Good,2.00%
Lickitung,Very Good,2.00%
Koffing,Very Good,2.00%
Chansey,Very Good,2.00%
Tangela,Very Good,2.00%
Kangaskhan,Very Good,2.00%
Horsea,Very Good,2.00%
Mr. Mime,Very Good,2.00%
Scyther,Very Good,2.00%
Jynx,Very Good,2.00%
Electabuzz,Very Good,2.00%
Magmar,Very Good,2.00%
Pinsir,Very Good,2.00%
Tauros,Very Good,2.00%
Magikarp,Very Good,2.00%
Lapras,Very Good,2.00%
Ditto,Very Good,2.00%
Eevee,Very Good,2.00%
Porygon,Very Good,2.00%
Omanyte,Very Good,2.00%
Kabuto,Very Good,2.00%
Aerodactyl,Very Good,2.00%
Snorlax,Very Good,2.00%
Dratini,Very Good,2.00%
Bulbasaur,Special,3.33%
Charmander,Special,3.33%
Squirtle,Special,3.33%
Pikachu,Special,3.33%
Venonat,Special,3.33%
Farfetch'd,Special,3.33%
Gastly,Special,3.33%
Drowzee,Special,3.33%
Cubone,Special,3.33%
Hitmonlee,Special,3.33%
Hitmonchan,Special,3.33%
Chansey,Special,3.33%
Tangela,Special,3.33%
Kangaskhan,Special,3.33%
Mr. Mime,Special,3.33%
Scyther,Special,3.33%
Jynx,Special,3.33%
Electabuzz,Special,3.33%
Magmar,Special,3.33%
Pinsir,Special,3.33%
Tauros,Special,3.33%
Magikarp,Special,3.33%
Lapras,Special,3.33%
Ditto,Special,3.33%
Eevee,Special,3.33%
Omanyte,Special,3.33%
Kabuto,Special,3.33%
Aerodactyl,Special,3.33%
Snorlax,Special,3.33%
Dratini,Special,3.33%
