Pokemon,Recipe Quality,Chance of Appearing
Pidgey,Normal,25%
Rattata,Normal,25%
Spearow,Normal,25%
Meowth,Normal,25%
Jigglypuff,Good,24.53%
Doduo,Good,24.53%
Lickitung,Good,24.53%
Porygon,Good,24.53%
Kangaskhan,Good,0.61%
Farfetch'd,Good,0.55%
Eevee,Good,0.43%
Chansey,Good,0.07%
Tauros,Good,0.07%
Ditto,Good,0.07%
Snorlax,Good,0.07%
Jigglypuff,Very Good,18.05%
Doduo,Very Good,18.05%
Lickitung,Very Good,18.05%
Porygon,Very Good,18.05%
Kangaskhan,Very Good,9.03%
Farfetch'd,Very Good,8.12%
Eevee,Very Good,6.32%
Chansey,Very Good,1.08%
Tauros,Very Good,1.08%
Ditto,Very Good,1.08%
Snorlax,Very Good,1.08%
Kangaskhan,Special,32.47%
Farfetch'd,Special,29.22%
Eevee,Special,22.73%
Chansey,Special,3.90%
Tauros,Special,3.90%
Ditto,Special,3.90%
Snorlax,Special,3.90%
