Pokemon,Recipe Quality,Chance of Appearing
Spearow,Normal,14.29%
Vulpix,Normal,14.29%
Mankey,Normal,14.29%
Growlithe,Normal,14.29%
Krabby,Normal,14.29%
Voltorb,Normal,14.29%
Goldeen,Normal,14.29%
Paras,Good,16.44%
Diglett,Good,16.44%
Slowpoke,Good,16.44%
Doduo,Good,16.44%
Lickitung,Good,16.44%
Porygon,Good,16.44%
Charmander,Good,0.27%
Farfetch'd,Good,0.27%
Eevee,Good,0.27%
Hitmonchan,Good,0.21%
Kabuto,Good,0.21%
Jynx,Good,0.05%
Magmar,Good,0.05%
Pinsir,Good,0.05%
Paras,Very Good,13.04%
Diglett,Very Good,13.04%
Slowpoke,Very Good,13.04%
Doduo,Very Good,13.04%
Lickitung,Very Good,13.04%
Porygon,Very Good,13.04%
Charmander,Very Good,4.30%
Farfetch'd,Very Good,4.30%
Eevee,Very Good,4.30%
Hitmonchan,Very Good,3.26%
Kabuto,Very Good,3.26%
Jynx,Very Good,0.78%
Magmar,Very Good,0.78%
Pinsir,Very Good,0.78%
Charmander,Special,19.76%
Farfetch'd,Special,19.76%
Eevee,Special,19.76%
Hitmonchan,Special,14.97%
Kabuto,Special,14.97%
Jynx,Special,3.59%
Magmar,Special,3.59%
Pinsir,Special,3.59%
